,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type,Game_ID,Away ELO Prior,Away EA,Away ELO Posterior,Away Delta,Home ELO Prior,Home EA,Home ELO Posterior,Home Delta
1577,03/17/26,Honey Badgers,6,Greenhorns,4,Division 6C,Division 6C,REG,03/17/26_Honey Badgers_@_Greenhorns,2446,30.9,2527,81,2586,69.1,2505,-81
1578,03/17/26,Night Owls,5,Mighty Mallards,2,Division 4B,Division 4B,REG,03/17/26_Night Owls_@_Mighty Mallards,3524,60.8,3579,55,3448,39.2,3393,-55
1579,03/17/26,Bombers,3,Sasquatch,2,Division 3B,Division 3B,REG,03/17/26_Bombers_@_Sasquatch,3665,17.2,3728,63,3938,82.8,3874,-64
1580,03/17/26,Eagles,6,Puckbuddies,4,Division 3A,Division 3B,REG,03/17/26_Eagles_@_Puckbuddies,3743,32.3,3822,79,3872,67.7,3793,-79
1581,03/17/26,WKUP-5,2,Bullets,6,Division 5B,Division 5C,REG,03/17/26_WKUP-5_@_Bullets,3281,95.5,3147,-134,2751,4.5,2885,134
1582,03/18/26,Schilling Cider,0,Kraken Up,0,Division 4B,Division 4B,REG,03/18/26_Schilling Cider_@_Kraken Up,3228,25.1,3248,20,3418,74.9,3397,-21
1583,03/18/26,Bar Down Transportation,3,Puget Sound Pigeons,2,Division 3A,Division 3A,REG,03/18/26_Bar Down Transportation_@_Puget Sound Pigeons,3943,55.1,3979,36,3907,44.9,3872,-35
1584,03/18/26,Chinooks,1,Goal Diggers,5,Division 4A,Division 4A,REG,03/18/26_Chinooks_@_Goal Diggers,3596,30.5,3557,-39,3739,69.5,3779,40
1585,03/18/26,Red Dog,8,Northwest Crabs,3,Division 2,Division 2,REG,03/18/26_Red Dog_@_Northwest Crabs,4091,14.5,4222,131,4399,85.5,4269,-130
1586,03/18/26,Breakers,3,Sasquatch,6,Division 3B,Division 3B,REG,03/18/26_Breakers_@_Sasquatch,3530,12.1,3516,-14,3874,87.9,3889,15
1587,03/18/26,Greasy Weasels,1,Buck Wild,6,Division 4B,Division 4B,REG,03/18/26_Greasy Weasels_@_Buck Wild,3140,16.7,3118,-22,3419,83.3,3442,23
1588,03/18/26,The Brigade,4,Mavericks,4,Division 2,Division 2,REG,03/18/26_The Brigade_@_Mavericks,4073,35.5,4086,13,4177,64.5,4164,-13
1589,03/18/26,The Mighty Geoducks,6,Koronis Motors,7,Division 2,Division 2,REG,03/18/26_The Mighty Geoducks_@_Koronis Motors,4091,54.7,4052,-39,4058,45.3,4097,39
1590,03/18/26,Coconut Corgis,2,Maple Bars,8,Division 4A,Division 4A,REG,03/18/26_Coconut Corgis_@_Maple Bars,3403,23.1,3369,-34,3612,76.9,3645,33
1591,03/19/26,Shockers,4,Buck Wild,2,Division 3B,Division 4B,REG,03/19/26_Shockers_@_Buck Wild,3370,39.7,3441,71,3442,60.3,3371,-71
1592,03/19/26,ALTP,4,NW Stars,3,Division 1A,Division 1A,REG,03/19/26_ALTP_@_NW Stars,4475,66.4,4502,27,4356,33.6,4329,-27
1593,03/19/26,Falcons,9,ESB,1,Division 1A,Division 1A,REG,03/19/26_Falcons_@_ESB,4452,75.7,4499,47,4255,24.3,4208,-47
1594,03/19/26,The Herd,4,The Mighty Geoducks,10,Division 3A,Division 2,REG,03/19/26_The Herd_@_The Mighty Geoducks,3734,13.8,3714,-20,4052,86.2,4072,20
1595,03/19/26,Mustangs,0,Seattle Supernova,1,Division 1A,Division 1A,REG,03/19/26_Mustangs_@_Seattle Supernova,4043,19.4,4030,-13,4291,80.6,4304,13
1596,03/19/26,Wranglers,2,Barrel Aged Brewzers,3,Division 6D,Division 6D,REG,03/19/26_Wranglers_@_Barrel Aged Brewzers,2647,62.0,2602,-45,2562,38.0,2606,44
1597,03/19/26,LLUA,2,DevilFish,3,Division 4C,Division 4C,REG,03/19/26_LLUA_@_DevilFish,3511,81.0,3452,-59,3259,19.0,3319,60
1598,03/19/26,MMHC,4,Sabercats,5,Division 3B,Division 3B,REG,03/19/26_MMHC_@_Sabercats,3595,31.4,3573,-22,3730,68.6,3752,22
1599,03/19/26,Puckbuddies,4,Rhinos,10,Division 3B,Division 3A,REG,03/19/26_Puckbuddies_@_Rhinos,3793,27.9,3752,-41,3958,72.1,3999,41
1600,03/19/26,Pull Tab Bandits,3,Pheasants,4,Division 2,Division 2,REG,03/19/26_Pull Tab Bandits_@_Pheasants,4159,75.9,4103,-56,3959,24.1,4015,56
1601,03/21/26,Toe Dragons,1,Seattle Slapshots,3,Division 8B,Division 8B,REG,03/21/26_Toe Dragons_@_Seattle Slapshots,1475,13.9,1461,-14,1792,86.1,1806,14
1602,03/21/26,Golden Mules,6,Banana Blades,6,Division 10A,Division 10A,REG,03/21/26_Golden Mules_@_Banana Blades,971,79.6,951,-20,734,20.4,755,21
1603,03/21/26,Trash Pandas 7 Landis,3,Chucklepucks,1,Division 7A,Division 7A,REG,03/21/26_Trash Pandas 7 Landis_@_Chucklepucks,2338,35.0,2414,76,2446,65.0,2370,-76
1604,03/21/26,Spittin'' Llamas,0,Sockeyes Div 8,3,Division 8A,Division 8A,REG,03/21/26_Spittin'' Llamas_@_Sockeyes Div 8,1653,25.8,1623,-30,1837,74.2,1868,31
1605,03/22/26,Blackouts,2,Orcas,2,Division 8A,Division 8A,REG,03/22/26_Blackouts_@_Orcas,1553,12.5,1582,29,1891,87.5,1862,-29
1606,03/22/26,Gremlins Hockey,3,Yacht Flippers,5,Division 9A,Division 9A,REG,03/22/26_Gremlins Hockey_@_Yacht Flippers,1580,82.0,1490,-90,1316,18.0,1407,91
1607,03/22/26,Trash Pandas 7 Landis,2,Cascadians HC,2,Division 7A,Division 7A,REG,03/22/26_Trash Pandas 7 Landis_@_Cascadians HC,2414,70.3,2401,-13,2265,29.7,2278,13
1608,03/22/26,Seals Lower,4,Not Sure 7A,5,Division 7A,Division 7A,REG,03/22/26_Seals Lower_@_Not Sure 7A,1897,5.3,1894,-3,2398,94.7,2401,3
1609,03/22/26,Spicy Kittens,8,Beer Dragons,1,Division 9B,Division 9B,REG,03/22/26_Spicy Kittens_@_Beer Dragons,1379,95.6,1388,9,845,4.4,837,-8
1610,03/22/26,Purple Puck Eaters,1,Orange Crush,8,Division 9B,Division 9B,REG,03/22/26_Purple Puck Eaters_@_Orange Crush,1067,29.8,1021,-46,1216,70.2,1262,46
1611,03/22/26,Spring 10B White,1,Spring 10B Sky Blue,3,Division 10B,Division 10B,REG,03/22/26_Spring 10B White_@_Spring 10B Sky Blue,941,31.7,908,-33,1074,68.3,1107,33
1612,03/22/26,Blackbirds,2,Khaos,3,Division 9A,Division 9A,REG,03/22/26_Blackbirds_@_Khaos,1596,81.6,1536,-60,1337,18.4,1397,60
1613,03/22/26,LKI,1,Pond Pigeons,2,Division 7C,Division 7C,REG,03/22/26_LKI_@_Pond Pigeons,1984,91.1,1916,-68,1581,8.9,1648,67
1614,03/22/26,Birrds,4,Bandits,3,Division 7B,Division 7B,REG,03/22/26_Birrds_@_Bandits,2042,62.8,2072,30,1951,37.2,1921,-30
1615,03/22/26,Spring 10B Red,3,Spring 10B Purple,1,Division 10B,Division 10B,REG,03/22/26_Spring 10B Red_@_Spring 10B Purple,926,31.7,1005,79,1059,68.3,980,-79
1616,03/22/26,Rainier Reindeers HC-9,3,Tropical Punchers,3,Division 9B,Division 9B,REG,03/22/26_Rainier Reindeers HC-9_@_Tropical Punchers,1266,65.6,1256,-10,1154,34.4,1164,10
1617,03/22/26,Frozen Assets,7,Fighting Clams,2,Division 9A,Division 9A,REG,03/22/26_Frozen Assets_@_Fighting Clams,1841,92.7,1853,12,1400,7.3,1388,-12
1618,03/22/26,Roughnecks Mobile Infantry,5,Fluffy Bunnies,2,Division 7B,Division 7B,REG,03/22/26_Roughnecks Mobile Infantry_@_Fluffy Bunnies,1763,9.9,1882,119,2146,90.1,2026,-120
1619,03/22/26,BLU Bombers,1,Los Tigres,8,Division 7C,Division 7C,REG,03/22/26_BLU Bombers_@_Los Tigres,1929,28.7,1884,-45,2087,71.3,2131,44
1620,03/22/26,Purple Reign,1,Mighty Moose,2,Division 9B,Division 9B,REG,03/22/26_Purple Reign_@_Mighty Moose,1301,28.9,1282,-19,1458,71.1,1478,20
1621,03/22/26,Seattle Freeze,6,Chucklepucks,6,Division 7A,Division 7A,REG,03/22/26_Seattle Freeze_@_Chucklepucks,2276,36.8,2288,12,2370,63.2,2358,-12
1622,03/22/26,Piranhas,1,Gamblers,3,Division 5C,Division 5C,REG,03/22/26_Piranhas_@_Gamblers,3009,77.1,2925,-84,2798,22.9,2882,84
1623,03/22/26,Red Zeppelin,4,Winter 26 New Div 10 Purple,1,Division 10A,Division 10A,REG,03/22/26_Red Zeppelin_@_Winter 26 New Div 10 Purple,1195,96.2,1201,6,633,3.8,627,-6
1624,03/22/26,Ice Breakers,3,Doom Clouds,1,Division 10A,Division 10A,REG,03/22/26_Ice Breakers_@_Doom Clouds,1049,73.3,1082,33,873,26.7,841,-32
1625,03/22/26,Iced Awesome,1,Hampton West Hockey Club,3,Division 7B,Division 7B,REG,03/22/26_Iced Awesome_@_Hampton West Hockey Club,2002,15.6,1986,-16,2295,84.4,2311,16
1626,03/22/26,Glow Sticks,6,Scrooge McPuck,4,Division 8A,Division 8A,REG,03/22/26_Glow Sticks_@_Scrooge McPuck,2018,94.3,2025,7,1531,5.7,1524,-7
1627,03/22/26,Toe Dragons,2,Rainiers,4,Division 8B,Division 8B,REG,03/22/26_Toe Dragons_@_Rainiers,1461,9.5,1452,-9,1853,90.5,1863,10
1628,03/22/26,Quacken,3,Seattle Dogs,3,Division 7C,Division 7C,REG,03/22/26_Quacken_@_Seattle Dogs,1838,55.1,1837,-1,1803,44.9,1804,1
1629,03/22/26,SEA Cucumbers,1,Seal Team Sticks,1,Division 8B,Division 8B,REG,03/22/26_SEA Cucumbers_@_Seal Team Sticks,1668,19.1,1692,24,1918,80.9,1894,-24
1630,03/22/26,Hungry Hatchlings,1,Seattle Slapshots,7,Division 8B,Division 8B,REG,03/22/26_Hungry Hatchlings_@_Seattle Slapshots,1498,14.5,1477,-21,1806,85.5,1827,21
1631,03/22/26,Raiders,3,Trash Pandas Garbage Legacy,2,Division 6D,Division 6D,OT,03/22/26_Raiders_@_Trash Pandas Garbage Legacy,2286,60.1,2318,32,2215,39.9,2183,-32
1632,03/22/26,Hackers,0,Monarchs 6C,10,Division 6C,Division 6C,REG,03/22/26_Hackers_@_Monarchs 6C,2369,36.8,2302,-67,2463,63.2,2530,67
1633,03/22/26,Mudflaps,3,Blades,4,Division 6D,Division 6D,SO,03/22/26_Mudflaps_@_Blades,2258,37.5,2231,-27,2346,62.5,2373,27
1634,03/22/26,Real Bacon,6,Honey Badgers,2,Division 6C,Division 6C,REG,03/22/26_Real Bacon_@_Honey Badgers,2358,27.5,2463,105,2527,72.5,2422,-105
1635,03/22/26,Icemen,5,Dirty Couch Hockey Club,6,Division 6B,Division 6B,SO,03/22/26_Icemen_@_Dirty Couch Hockey Club,2388,8.6,2382,-6,2798,91.4,2804,6
1636,03/23/26,Top Cheddar,4,Ice-O-Topes,5,Division 5A,Division 5A,REG,03/23/26_Top Cheddar_@_Ice-O-Topes,2687,24.2,2671,-16,2885,75.8,2902,17
1637,03/23/26,Seagulls,2,Reapers,3,Division 5B,Division 5B,REG,03/23/26_Seagulls_@_Reapers,2725,26.1,2707,-18,2906,73.9,2924,18
1638,03/23/26,Highlanders,3,Black Katz,4,Division 5D,Division 5D,REG,03/23/26_Highlanders_@_Black Katz,2709,21.1,2694,-15,2937,78.9,2952,15
1639,03/23/26,Mighty Boosh,2,Dumb Pucks,6,Division 6B,Division 6B,REG,03/23/26_Mighty Boosh_@_Dumb Pucks,2269,7.4,2260,-9,2708,92.6,2718,10
1640,03/23/26,Steelhead,2,Coconut Corgis,2,Division 4A,Division 4A,SO,03/23/26_Steelhead_@_Coconut Corgis,3371,50.3,3373,2,3369,49.7,3367,-2
1641,03/23/26,Schilling Cider,3,Mighty Mallards,4,Division 4B,Division 4B,OT,03/23/26_Schilling Cider_@_Mighty Mallards,3248,30.3,3227,-21,3393,69.7,3414,21
